PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
SMSM Senanayake,14,22,1.5714285714285714,2231
SR Tendulkar,25,15,0.6,2231
TM Dilshan,25,16,0.64,2231
V Kohli,25,15,0.6,2231
WU Tharanga,2,0,0.0,2231
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
HM Nicholls,8,4,0.5,3649
KS Williamson,12,12,1.0,3649
LRPL Taylor,15,20,1.3333333333333333,3649
MJ Guptill,14,27,1.9285714285714286,3649
TWM Latham,8,9,1.125,3649
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Flintoff,30,15,0.5,90
AJ Strauss,13,7,0.5384615384615384,90
GO Jones,42,32,0.7619047619047619,90
ID Blackwell,12,9,0.75,90
IK Pathan,66,36,0.5454545454545454,90
JM Anderson,2,2,1.0,90
LE Plunkett,19,18,0.9473684210526315,90
M Kaif,3,0,0.0,90
MJ Prior,54,37,0.6851851851851852,90
MS Dhoni,6,13,2.1666666666666665,90
OA Shah,13,7,0.5384615384615384,90
PD Collingwood,84,93,1.1071428571428572,90
R Dravid,64,46,0.71875,90
RR Powar,1,1,1.0,90
SI Mahmood,9,8,0.8888888888888888,90
SK Raina,70,61,0.8714285714285714,90
V Sehwag,26,15,0.5769230769230769,90
VS Solanki,20,10,0.5,90
Yuvraj Singh,79,103,1.3037974683544304,90
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
Abdur Rehman,1,0,0.0,2793
Ahmed Shehzad,90,54,0.6,2793
BRM Taylor,29,26,0.896551724137931,2793
E Chigumbura,13,2,0.15384615384615385,2793
H Masakadza,45,25,0.5555555555555556,2793
MN Waller,72,48,0.6666666666666666,2793
Misbah-ul-Haq,87,67,0.7701149425287356,2793
Mohammad Hafeez,35,26,0.7428571428571429,2793
Nasir Jamshed,52,38,0.7307692307692307,2793
P Utseya,51,23,0.45098039215686275,2793
SC Williams,3,2,0.6666666666666666,2793
SW Masakadza,1,0,0.0,2793
Sarfraz Ahmed,13,22,1.6923076923076923,2793
Shahid Afridi,7,7,1.0,2793
Sikandar Raza,16,6,0.375,2793
T Panyangara,4,1,0.25,2793
TL Chatara,3,1,0.3333333333333333,2793
Umar Amin,25,33,1.32,2793
V Sibanda,8,2,0.25,2793
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
CH Gayle,2,0,0.0,2873
DJ Bravo,28,24,0.8571428571428571,2873
DJG Sammy,16,5,0.3125,2873
DM Bravo,78,59,0.7564102564102564,2873
J Charles,35,42,1.2,2873
JO Holder,27,16,0.5925925925925926,2873
LMP Simmons,42,29,0.6904761904761905,2873
MN Samuels,35,24,0.6857142857142857,2873
MS Dhoni,7,13,1.8571428571428572,2873
N Deonarine,14,4,0.2857142857142857,2873
R Rampaul,16,1,0.0625,2873
RG Sharma,85,72,0.8470588235294118,2873
S Dhawan,6,5,0.8333333333333334,2873
SK Raina,5,0,0.0,2873
SP Narine,6,0,0.0,2873
V Kohli,89,86,0.9662921348314607,2873
Yuvraj Singh,30,16,0.5333333333333333,2873
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
CB Mpofu,4,1,0.25,1115
E Chigumbura,19,7,0.3684210526315789,1115
EC Rainsford,10,1,0.1,1115
H Masakadza,11,10,0.9090909090909091,1115
KM Dabengwa,43,21,0.4883720930232558,1115
Mehrab Hossain jnr,27,2,0.07407407407407407,1115
Mohammad Ashraful,31,3,0.0967741935483871,1115
Mushfiqur Rahim,31,20,0.6451612903225806,1115
P Utseya,23,6,0.2608695652173913,1115
RW Price,20,7,0.35,1115
Raqibul Hasan,23,14,0.6086956521739131,1115
S Matsikenyeri,28,10,0.35714285714285715,1115
SC Williams,46,38,0.8260869565217391,1115
Shakib Al Hasan,36,33,0.9166666666666666,1115
T Taibu,17,12,0.7058823529411765,1115
Tamim Iqbal,54,34,0.6296296296296297,1115
V Sibanda,5,0,0.0,1115
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
BB McCullum,10,14,1.4,1797
DL Vettori,11,9,0.8181818181818182,1797
G Gambhir,3,0,0.0,1797
GD Elliott,5,0,0.0,1797
JEC Franklin,24,17,0.7083333333333334,1797
JM How,44,23,0.5227272727272727,1797
KD Mills,7,4,0.5714285714285714,1797
LRPL Taylor,9,9,1.0,1797
MJ Guptill,4,0,0.0,1797
NL McCullum,3,1,0.3333333333333333,1797
PA Patel,71,56,0.7887323943661971,1797
SB Styris,45,24,0.5333333333333333,1797
TG Southee,2,0,0.0,1797
V Kohli,8,2,0.25,1797
Yuvraj Singh,46,42,0.9130434782608695,1797
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
CL White,49,89,1.816326530612245,1747
M Vijay,19,15,0.7894736842105263,1747
MEK Hussey,77,69,0.8961038961038961,1747
MJ Clarke,140,111,0.7928571428571428,1747
MS Dhoni,1,0,0.0,1747
S Dhawan,2,0,0.0,1747
SE Marsh,11,0,0.0,1747
SK Raina,47,71,1.5106382978723405,1747
SS Tiwary,17,12,0.7058823529411765,1747
TD Paine,24,9,0.375,1747
V Kohli,125,118,0.944,1747
Yuvraj Singh,91,58,0.6373626373626373,1747
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Hales,22,22,1.0,3525
AU Rashid,12,11,0.9166666666666666,3525
BA Stokes,23,13,0.5652173913043478,3525
CR Woakes,1,0,0.0,3525
DA Warner,67,59,0.8805970149253731,3525
EJG Morgan,46,38,0.8260869565217391,3525
GJ Bailey,16,23,1.4375,3525
GJ Maxwell,15,15,1.0,3525
JA Burns,55,44,0.8,3525
JC Buttler,10,4,0.4,3525
JJ Roy,65,67,1.0307692307692307,3525
JWA Taylor,51,49,0.9607843137254902,3525
MA Wood,11,10,0.9090909090909091,3525
MM Ali,19,17,0.8947368421052632,3525
MR Marsh,34,40,1.1764705882352942,3525
MS Wade,50,71,1.42,3525
SPD Smith,54,44,0.8148148148148148,3525
SR Watson,11,6,0.5454545454545454,3525
ST Finn,17,10,0.5882352941176471,3525
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Flintoff,20,4,0.2,460
A Symonds,28,28,1.0,460
AC Gilchrist,37,27,0.7297297297297297,460
AJ Strauss,12,7,0.5833333333333334,460
IR Bell,91,77,0.8461538461538461,460
JM Anderson,1,0,0.0,460
KP Pietersen,123,104,0.8455284552845529,460
MJ Clarke,63,55,0.873015873015873,460
ML Hayden,53,41,0.7735849056603774,460
MP Vaughan,8,5,0.625,460
MS Panesar,2,1,0.5,460
PA Nixon,6,8,1.3333333333333333,460
PD Collingwood,5,2,0.4,460
RS Bopara,37,21,0.5675675675675675,460
RT Ponting,108,86,0.7962962962962963,460
SI Mahmood,2,0,0.0,460
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Balbirnie,41,30,0.7317073170731707,3337
AR Berenger,26,13,0.5,3337
AR Cusack,6,5,0.8333333333333334,3337
Amjad Ali,73,45,0.6164383561643836,3337
Amjad Javed,36,42,1.1666666666666667,3337
EC Joyce,49,37,0.7551020408163265,3337
GC Wilson,70,80,1.1428571428571428,3337
GH Dockrell,5,7,1.4,3337
JF Mooney,6,2,0.3333333333333333,3337
KJ O'Brien,25,50,2.0,3337
Khurram Khan,54,36,0.6666666666666666,3337
Krishna Chandran,4,0,0.0,3337
Mohammad Naveed,11,13,1.1818181818181819,3337
Mohammad Tauqir,2,2,1.0,3337
NJ O'Brien,24,17,0.7083333333333334,3337
PR Stirling,9,3,0.3333333333333333,3337
Rohan Mustafa,9,2,0.2222222222222222,3337
SP Patil,8,2,0.25,3337
Shaiman Anwar,89,106,1.1910112359550562,3337
WTS Porterfield,65,37,0.5692307692307692,3337
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AJ Finch,5,2,0.4,3362
Ahmed Shehzad,13,5,0.38461538461538464,3362
DA Warner,24,24,1.0,3362
Ehsan Adil,22,15,0.6818181818181818,3362
GJ Maxwell,31,44,1.4193548387096775,3362
Haris Sohail,58,41,0.7068965517241379,3362
MJ Clarke,11,8,0.7272727272727273,3362
Misbah-ul-Haq,61,34,0.5573770491803278,3362
Rahat Ali,21,6,0.2857142857142857,3362
SPD Smith,70,65,0.9285714285714286,3362
SR Watson,71,64,0.9014084507042254,3362
Sarfraz Ahmed,17,10,0.5882352941176471,3362
Shahid Afridi,15,23,1.5333333333333334,3362
Sohaib Maqsood,45,29,0.6444444444444445,3362
Sohail Khan,5,4,0.8,3362
Umar Akmal,25,20,0.8,3362
Wahab Riaz,22,16,0.7272727272727273,3362
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,49,54,1.1020408163265305,2068
AN Cook,63,80,1.2698412698412698,2068
C Kieswetter,27,46,1.7037037037037037,2068
IR Bell,16,25,1.5625,2068
MK Tiwary,7,11,1.5714285714285714,2068
MS Dhoni,6,6,1.0,2068
P Kumar,1,0,0.0,2068
PA Patel,19,28,1.4736842105263157,2068
R Ashwin,1,1,1.0,2068
R Dravid,31,32,1.032258064516129,2068
RS Bopara,20,24,1.2,2068
SK Raina,19,40,2.1052631578947367,2068
SR Patel,9,9,1.0,2068
V Kohli,9,9,1.0,2068
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AK Markram,16,7,0.4375,4915
AL Phehlukwayo,34,46,1.3529411764705883,4915
Babar Azam,83,69,0.8313253012048193,4915
CH Morris,10,16,1.6,4915
DA Miller,37,31,0.8378378378378378,4915
F du Plessis,79,63,0.7974683544303798,4915
Fakhar Zaman,50,44,0.88,4915
HE van der Dussen,49,36,0.7346938775510204,4915
HM Amla,4,2,0.5,4915
Haris Sohail,59,89,1.5084745762711864,4915
Imad Wasim,15,23,1.5333333333333334,4915
Imam-ul-Haq,59,44,0.7457627118644068,4915
Imran Tahir,3,1,0.3333333333333333,4915
K Rabada,7,3,0.42857142857142855,4915
L Ngidi,6,1,0.16666666666666666,4915
Mohammad Hafeez,34,20,0.5882352941176471,4915
Q de Kock,60,47,0.7833333333333333,4915
Sarfraz Ahmed,2,2,1.0,4915
Shadab Khan,1,1,1.0,4915
Wahab Riaz,4,4,1.0,4915
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,73,64,0.8767123287671232,3082
AT Rayudu,21,16,0.7619047619047619,3082
Abdur Razzak,13,16,1.2307692307692308,3082
Al-Amin Hossain,2,1,0.5,3082
Anamul Haque,62,44,0.7096774193548387,3082
CA Pujara,6,0,0.0,3082
Mahmudullah,46,41,0.8913043478260869,3082
Mashrafe Mortaza,11,18,1.6363636363636365,3082
Mominul Haque,18,6,0.3333333333333333,3082
Mushfiqur Rahim,63,59,0.9365079365079365,3082
Nasir Hossain,20,22,1.1,3082
RV Uthappa,46,50,1.0869565217391304,3082
SK Raina,11,15,1.3636363636363635,3082
Shakib Al Hasan,58,52,0.896551724137931,3082
Tamim Iqbal,12,0,0.0,3082
Ziaur Rahman,3,2,0.6666666666666666,3082
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Dananjaya,1,0,0.0,4953
AD Mathews,91,87,0.9560439560439561,4953
Anamul Haque,24,14,0.5833333333333334,4953
BKG Mendis,58,54,0.9310344827586207,4953
FDM Karunaratne,62,46,0.7419354838709677,4953
GSNFG Jayasuriya,7,13,1.8571428571428572,4953
MD Shanaka,14,30,2.142857142857143,4953
MDKJ Perera,51,42,0.8235294117647058,4953
Mahmudullah,12,9,0.75,4953
Mehedi Hasan Miraz,6,8,1.3333333333333333,4953
Mohammad Mithun,11,4,0.36363636363636365,4953
Mushfiqur Rahim,17,10,0.5882352941176471,4953
PWH de Silva,5,12,2.4,4953
Rubel Hossain,6,2,0.3333333333333333,4953
Sabbir Rahman,17,7,0.4117647058823529,4953
Shafiul Islam,5,1,0.2,4953
Soumya Sarkar,89,69,0.7752808988764045,4953
Taijul Islam,28,39,1.3928571428571428,4953
Tamim Iqbal,6,2,0.3333333333333333,4953
WIA Fernando,15,6,0.4,4953
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AA Mulla,3,1,0.3333333333333333,652
AA Obanda,108,85,0.7870370370370371,652
AL Kandappah,59,28,0.4745762711864407,652
Abdul Jabbar,30,15,0.5,652
CO Obuya,62,44,0.7096774193548387,652
D Soraine,2,0,0.0,652
DO Obuya,53,34,0.6415094339622641,652
H Osinde,2,0,0.0,652
J Patraj,3,1,0.3333333333333333,652
JK Kamande,3,2,0.6666666666666666,652
MA Ouma,5,1,0.2,652
Mohammad Iqbal,54,30,0.5555555555555556,652
NN Odhiambo,4,1,0.25,652
Qaiser Ali,31,15,0.4838709677419355,652
S Dhaniram,21,13,0.6190476190476191,652
SO Tikolo,26,15,0.5769230769230769,652
TC Bastiampillai,74,49,0.6621621621621622,652
TM Odoyo,6,1,0.16666666666666666,652
U Bhatti,11,22,2.0,652
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
Asad Shafiq,4,0,0.0,2709
CH Gayle,47,39,0.8297872340425532,2709
D Ramdin,14,11,0.7857142857142857,2709
DJ Bravo,37,19,0.5135135135135135,2709
DM Bravo,4,0,0.0,2709
Imran Farhat,6,2,0.3333333333333333,2709
J Charles,14,9,0.6428571428571429,2709
Junaid Khan,9,0,0.0,2709
KA Pollard,61,30,0.4918032786885246,2709
KAJ Roach,6,5,0.8333333333333334,2709
Kamran Akmal,8,2,0.25,2709
MN Samuels,58,30,0.5172413793103449,2709
Misbah-ul-Haq,128,96,0.75,2709
Mohammad Hafeez,9,4,0.4444444444444444,2709
Mohammad Irfan,14,2,0.14285714285714285,2709
Nasir Jamshed,96,50,0.5208333333333334,2709
RR Sarwan,2,1,0.5,2709
SP Narine,8,11,1.375,2709
Saeed Ajmal,4,2,0.5,2709
Shoaib Malik,1,0,0.0,2709
Wahab Riaz,14,6,0.42857142857142855,2709
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AG Cremer,23,14,0.6086956521739131,3499
C Munro,14,9,0.6428571428571429,3499
CJ Chibhabha,68,32,0.47058823529411764,3499
CR Ervine,32,32,1.0,3499
E Chigumbura,7,3,0.42857142857142855,3499
GD Elliott,41,36,0.8780487804878049,3499
H Masakadza,74,57,0.7702702702702703,3499
J Nyumbu,1,1,1.0,3499
JDS Neesham,32,37,1.15625,3499
KS Williamson,109,90,0.8256880733944955,3499
L Ronchi,15,7,0.4666666666666667,3499
MJ Guptill,52,42,0.8076923076923077,3499
N Madziva,3,2,0.6666666666666666,3499
NL McCullum,17,25,1.4705882352941178,3499
RW Chakabva,4,3,0.75,3499
SC Williams,65,63,0.9692307692307692,3499
Sikandar Raza,11,5,0.45454545454545453,3499
T Panyangara,8,7,0.875,3499
TWM Latham,29,16,0.5517241379310345,3499
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AJ Strauss,23,18,0.782608695652174,167
DPMD Jayawardene,68,66,0.9705882352941176,167
GO Jones,10,8,0.8,167
IR Bell,51,40,0.7843137254901961,167
JWM Dalrymple,34,37,1.088235294117647,167
KC Sangakkara,43,51,1.186046511627907,167
KP Pietersen,79,73,0.9240506329113924,167
LE Plunkett,3,3,1.0,167
M Muralitharan,1,1,1.0,167
ME Trescothick,9,9,1.0,167
PD Collingwood,62,56,0.9032258064516129,167
RP Arnold,9,5,0.5555555555555556,167
SI Mahmood,4,4,1.0,167
SJ Harmison,3,2,0.6666666666666666,167
SL Malinga,4,2,0.5,167
ST Jayasuriya,144,122,0.8472222222222222,167
TM Dilshan,11,9,0.8181818181818182,167
TT Bresnan,9,11,1.2222222222222223,167
WPUJC Vaas,11,13,1.1818181818181819,167
WU Tharanga,30,17,0.5666666666666667,167
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB Agarkar,6,3,0.5,33
Abdul Razzaq,7,4,0.5714285714285714,33
IK Pathan,66,65,0.9848484848484849,33
Inzamam-ul-Haq,22,16,0.7272727272727273,33
Kamran Akmal,25,25,1.0,33
M Kaif,12,8,0.6666666666666666,33
M Kartik,4,1,0.25,33
MS Dhoni,53,68,1.2830188679245282,33
Mohammad Yousuf,14,17,1.2142857142857142,33
Naved-ul-Hasan,11,11,1.0,33
R Dravid,14,18,1.2857142857142858,33
S Sreesanth,1,0,0.0,33
SR Tendulkar,114,100,0.8771929824561403,33
Salman Butt,115,101,0.8782608695652174,33
Shahid Afridi,15,17,1.1333333333333333,33
Shoaib Malik,67,90,1.3432835820895523,33
V Sehwag,6,5,0.8333333333333334,33
Younis Khan,17,18,1.0588235294117647,33
Yuvraj Singh,28,39,1.3928571428571428,33
Z Khan,3,5,1.6666666666666667,33
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Balbirnie,82,97,1.1829268292682926,3349
AR Cusack,3,2,0.6666666666666666,3349
BRM Taylor,91,121,1.3296703296703296,3349
CJ Chibhabha,34,18,0.5294117647058824,3349
CR Ervine,16,11,0.6875,3349
EC Joyce,106,112,1.0566037735849056,3349
GC Wilson,13,25,1.9230769230769231,3349
GH Dockrell,3,5,1.6666666666666667,3349
H Masakadza,7,5,0.7142857142857143,3349
JF Mooney,4,10,2.5,3349
KJ O'Brien,23,24,1.0434782608695652,3349
NJ O'Brien,4,2,0.5,3349
PR Stirling,11,10,0.9090909090909091,3349
RW Chakabva,16,17,1.0625,3349
SC Williams,83,96,1.1566265060240963,3349
SF Mire,21,11,0.5238095238095238,3349
Sikandar Raza,19,12,0.631578947368421,3349
T Mupariwa,7,18,2.5714285714285716,3349
T Panyangara,5,5,1.0,3349
TL Chatara,1,1,1.0,3349
WTS Porterfield,62,29,0.46774193548387094,3349
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
CK Kruger,5,0,0.0,901
Fawad Alam,78,63,0.8076923076923077,901
Iftikhar Anjum,2,3,1.5,901
Irfan Ahmed,1,0,0.0,901
JJ Atkinson,32,18,0.5625,901
KH Butt,13,4,0.3076923076923077,901
Misbah-ul-Haq,8,2,0.25,901
Mohammad Yousuf,28,28,1.0,901
Munir Dar,13,14,1.0769230769230769,901
Nadeem Ahmed,14,2,0.14285714285714285,901
Najeeb Amar,26,21,0.8076923076923077,901
Salman Butt,3,0,0.0,901
Sarfraz Ahmed,15,7,0.4666666666666667,901
Shahid Afridi,6,4,0.6666666666666666,901
Shoaib Malik,34,35,1.0294117647058822,901
Skhawat Ali,23,8,0.34782608695652173,901
Sohail Tanvir,56,59,1.0535714285714286,901
Tabarak Dar,54,24,0.4444444444444444,901
Umar Gul,10,8,0.8,901
Younis Khan,66,67,1.0151515151515151,901
Zain Abbas,55,26,0.4727272727272727,901
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,67,56,0.835820895522388,2982
Asghar Stanikzai,7,5,0.7142857142857143,2982
Dawlat Zadran,18,2,0.1111111111111111,2982
KD Karthik,27,21,0.7777777777777778,2982
Mirwais Ashraf,27,9,0.3333333333333333,2982
Mohammad Nabi,20,6,0.3,2982
Mohammad Shahzad,28,22,0.7857142857142857,2982
Najibullah Zadran,14,5,0.35714285714285715,2982
Nawroz Mangal,17,5,0.29411764705882354,2982
Noor Ali Zadran,38,31,0.8157894736842105,2982
RG Sharma,24,18,0.75,2982
Rahmat Shah,24,9,0.375,2982
S Dhawan,80,60,0.75,2982
Samiullah Shenwari,74,50,0.6756756756756757,2982
Shapoor Zadran,13,1,0.07692307692307693,2982
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,6,2,0.3333333333333333,1185
BJ Haddin,63,53,0.8412698412698413,1185
CJ Ferguson,45,25,0.5555555555555556,1185
DJ Hussey,20,18,0.9,1185
DW Steyn,2,1,0.5,1185
GC Smith,58,52,0.896551724137931,1185
HH Gibbs,37,33,0.8918918918918919,1185
HM Amla,16,7,0.4375,1185
J Botha,12,8,0.6666666666666666,1185
JA Morkel,19,14,0.7368421052631579,1185
JP Duminy,33,15,0.45454545454545453,1185
JR Hopes,35,38,1.0857142857142856,1185
M Morkel,10,2,0.2,1185
M Ntini,5,2,0.4,1185
MEK Hussey,81,83,1.0246913580246915,1185
MG Johnson,3,1,0.3333333333333333,1185
MJ Clarke,5,1,0.2,1185
MV Boucher,6,0,0.0,1185
NM Hauritz,11,20,1.8181818181818181,1185
RT Ponting,45,37,0.8222222222222222,1185
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,96,81,0.84375,3298
AD Russell,8,19,2.375,3298
CH Gayle,24,41,1.7083333333333333,3298
D Ramdin,32,31,0.96875,3298
DA Miller,70,70,1.0,3298
DJG Sammy,8,4,0.5,3298
DR Smith,39,29,0.7435897435897436,3298
DW Steyn,13,6,0.46153846153846156,3298
F Behardien,9,12,1.3333333333333333,3298
F du Plessis,8,0,0.0,3298
HM Amla,69,66,0.9565217391304348,3298
JE Taylor,6,2,0.3333333333333333,3298
JL Carter,27,17,0.6296296296296297,3298
JO Holder,6,2,0.3333333333333333,3298
JP Duminy,18,12,0.6666666666666666,3298
LR Johnson,7,0,0.0,3298
M Morkel,3,2,0.6666666666666666,3298
MN Samuels,17,12,0.7058823529411765,3298
RR Rossouw,5,0,0.0,3298
VD Philander,8,4,0.5,3298
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
CH Morris,13,12,0.9230769230769231,3474
DA Miller,24,9,0.375,3474
F Behardien,44,36,0.8181818181818182,3474
F du Plessis,64,41,0.640625,3474
HM Amla,37,22,0.5945945945945946,3474
Imran Tahir,4,1,0.25,3474
JP Duminy,22,13,0.5909090909090909,3474
K Rabada,26,10,0.38461538461538464,3474
KJ Abbott,11,5,0.45454545454545453,3474
Liton Das,15,17,1.1333333333333333,3474
Mahmudullah,67,50,0.746268656716418,3474
Q de Kock,10,2,0.2,3474
RR Rossouw,24,4,0.16666666666666666,3474
Shakib Al Hasan,4,0,0.0,3474
Soumya Sarkar,80,88,1.1,3474
Tamim Iqbal,7,5,0.7142857142857143,3474
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AB de Villiers,67,162,2.417910447761194,3339
AD Russell,3,0,0.0,3339
CH Gayle,4,3,0.75,3339
D Ramdin,47,22,0.46808510638297873,3339
DA Miller,18,20,1.1111111111111112,3339
DJG Sammy,11,5,0.45454545454545453,3339
DR Smith,34,31,0.9117647058823529,3339
F Behardien,5,10,2.0,3339
F du Plessis,72,62,0.8611111111111112,3339
HM Amla,90,65,0.7222222222222222,3339
JE Taylor,18,15,0.8333333333333334,3339
JL Carter,21,10,0.47619047619047616,3339
JO Holder,48,56,1.1666666666666667,3339
LMP Simmons,2,0,0.0,3339
MN Samuels,11,0,0.0,3339
Q de Kock,19,12,0.631578947368421,3339
RR Rossouw,41,61,1.4878048780487805,3339
SJ Benn,3,1,0.3333333333333333,3339
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AC Botha,1,1,1.0,467
AR White,4,4,1.0,467
Abdur Razzak,22,11,0.5,467
Aftab Ahmed,11,12,1.0909090909090908,467
D Langford-Smith,4,6,1.5,467
DT Johnston,23,30,1.3043478260869565,467
EJG Morgan,9,5,0.5555555555555556,467
Habibul Bashar,60,32,0.5333333333333333,467
JP Bray,70,31,0.44285714285714284,467
KJ O'Brien,46,48,1.0434782608695652,467
Mashrafe Mortaza,3,0,0.0,467
Mohammad Ashraful,38,35,0.9210526315789473,467
Mohammad Rafique,9,2,0.2222222222222222,467
Mushfiqur Rahim,26,16,0.6153846153846154,467
NJ O'Brien,14,10,0.7142857142857143,467
Shahadat Hossain,2,0,0.0,467
Shahriar Nafees,21,7,0.3333333333333333,467
Shakib Al Hasan,8,3,0.375,467
Tamim Iqbal,62,29,0.46774193548387094,467
WTS Porterfield,140,85,0.6071428571428571,467
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
A Zampa,6,5,0.8333333333333334,3885
AD Mathews,5,2,0.4,3885
AJ Finch,30,30,1.0,3885
BKG Mendis,2,4,2.0,3885
DA Warner,13,10,0.7692307692307693,3885
DM de Silva,30,12,0.4,3885
GJ Bailey,99,70,0.7070707070707071,3885
JP Faulkner,14,4,0.2857142857142857,3885
JW Hastings,7,5,0.7142857142857143,3885
LD Chandimal,134,102,0.7611940298507462,3885
MA Aponso,2,1,0.5,3885
MA Starc,8,12,1.5,3885
MD Gunathilaka,5,5,1.0,3885
MDK Perera,23,17,0.7391304347826086,3885
MDKJ Perera,20,11,0.55,3885
MS Wade,47,42,0.8936170212765957,3885
NLTC Perera,10,9,0.9,3885
S Prasanna,7,3,0.42857142857142855,3885
SE Marsh,8,1,0.125,3885
TM Dilshan,66,42,0.6363636363636364,3885
TM Head,50,36,0.72,3885
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,34,27,0.7941176470588235,3589
ADS Fletcher,14,6,0.42857142857142855,3589
CR Brathwaite,14,18,1.2857142857142858,3589
D Ramdin,12,4,0.3333333333333333,3589
DM Bravo,9,4,0.4444444444444444,3589
GSNFG Jayasuriya,15,11,0.7333333333333333,3589
HDRL Thirimanne,34,21,0.6176470588235294,3589
J Blackwood,8,2,0.25,3589
J Charles,4,4,1.0,3589
JL Carter,26,6,0.23076923076923078,3589
JO Holder,19,19,1.0,3589
LD Chandimal,35,23,0.6571428571428571,3589
MDKJ Perera,50,50,1.0,3589
MN Samuels,101,110,1.0891089108910892,3589
R Rampaul,4,2,0.5,3589
SP Narine,14,9,0.6428571428571429,3589
TAM Siriwardana,14,17,1.2142857142857142,3589
TM Dilshan,20,21,1.05,3589
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
Amir Hamza,3,0,0.0,4058
Asghar Stanikzai,58,50,0.8620689655172413,4058
CR Ervine,56,38,0.6785714285714286,4058
Dawlat Zadran,6,2,0.3333333333333333,4058
Gulbadin Naib,3,1,0.3333333333333333,4058
Hashmatullah Shahidi,44,21,0.4772727272727273,4058
Mohammad Nabi,12,6,0.5,4058
Mohammad Shahzad,9,8,0.8888888888888888,4058
Najibullah Zadran,20,11,0.55,4058
Noor Ali Zadran,76,39,0.5131578947368421,4058
PJ Moor,20,18,0.9,4058
RP Burl,46,28,0.6086956521739131,4058
Rahmat Shah,56,31,0.5535714285714286,4058
Rashid Khan,18,32,1.7777777777777777,4058
SF Mire,11,2,0.18181818181818182,4058
Sikandar Raza,30,12,0.4,4058
TK Musakanda,1,0,0.0,4058
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
BB McCullum,55,33,0.6,1132
BJ Haddin,68,43,0.6323529411764706,1132
CD Cumming,6,0,0.0,1132
CJ Ferguson,11,13,1.1818181818181819,1132
DJ Hussey,96,79,0.8229166666666666,1132
DL Vettori,4,6,1.5,1132
GD Elliott,29,26,0.896551724137931,1132
KD Mills,27,23,0.8518518518518519,1132
LRPL Taylor,74,76,1.027027027027027,1132
MEK Hussey,73,75,1.0273972602739727,1132
MJ Clarke,19,14,0.7368421052631579,1132
MJ Guptill,71,45,0.6338028169014085,1132
NT Broom,26,11,0.4230769230769231,1132
PG Fulton,10,5,0.5,1132
RT Ponting,28,15,0.5357142857142857,1132
TG Southee,4,7,1.75,1132
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,14,7,0.5,2936
B Kumar,5,6,1.2,2936
BB McCullum,25,30,1.2,2936
CJ Anderson,40,68,1.7,2936
I Sharma,10,5,0.5,2936
JD Ryder,16,18,1.125,2936
KS Williamson,88,71,0.8068181818181818,2936
L Ronchi,18,30,1.6666666666666667,2936
LRPL Taylor,84,55,0.6547619047619048,2936
MJ Guptill,26,8,0.3076923076923077,2936
MS Dhoni,50,40,0.8,2936
Mohammed Shami,4,7,1.75,2936
NL McCullum,5,2,0.4,2936
R Ashwin,10,12,1.2,2936
RA Jadeja,3,0,0.0,2936
RG Sharma,25,3,0.12,2936
S Dhawan,47,32,0.6808510638297872,2936
SK Raina,23,18,0.782608695652174,2936
TG Southee,4,3,0.75,2936
V Kohli,113,123,1.0884955752212389,2936
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
