PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
Asghar Stanikzai,109,66,0.6055045871559633,2422
DA Warner,18,24,1.3333333333333333,2422
DJ Hussey,19,13,0.6842105263157895,2422
Dawlat Zadran,18,8,0.4444444444444444,2422
GJ Bailey,16,23,1.4375,2422
GJ Maxwell,6,2,0.3333333333333333,2422
Gulbadin Naib,19,22,1.1578947368421053,2422
JL Pattinson,2,1,0.5,2422
Javed Ahmadi,3,0,0.0,2422
Karim Sadiq,18,17,0.9444444444444444,2422
MA Starc,1,1,1.0,2422
MEK Hussey,37,49,1.3243243243243243,2422
MG Johnson,1,1,1.0,2422
MJ Clarke,94,75,0.7978723404255319,2422
MS Wade,109,75,0.6880733944954128,2422
Mohammad Nabi,61,46,0.7540983606557377,2422
Mohammad Shahzad,13,11,0.8461538461538461,2422
Najibullah Zadran,1,0,0.0,2422
Nawroz Mangal,2,0,0.0,2422
Samiullah Shenwari,25,14,0.56,2422
Shapoor Zadran,5,1,0.2,2422
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AD Mathews,55,30,0.5454545454545454,3043
AR Cusack,17,10,0.5882352941176471,3043
BAW Mendis,10,18,1.8,3043
EC Joyce,6,0,0.0,3043
GC Wilson,2,3,1.5,3043
GH Dockrell,27,18,0.6666666666666666,3043
HDRL Thirimanne,24,8,0.3333333333333333,3043
KDK Vithanage,5,5,1.0,3043
KJ O'Brien,1,0,0.0,3043
KMDN Kulasekara,37,42,1.135135135135135,3043
LD Chandimal,63,39,0.6190476190476191,3043
MC Sorensen,36,17,0.4722222222222222,3043
MDKJ Perera,4,0,0.0,3043
NJ O'Brien,39,33,0.8461538461538461,3043
PR Stirling,6,4,0.6666666666666666,3043
SMA Priyanjan,44,31,0.7045454545454546,3043
SMSM Senanayake,15,3,0.2,3043
SR Thompson,8,1,0.125,3043
TJ Murtagh,13,10,0.7692307692307693,3043
WTS Porterfield,88,37,0.42045454545454547,3043
WU Tharanga,54,24,0.4444444444444444,3043
PLAYERS,STRIKER,RUNS,strike_rate_bat,Days
AM Rahane,50,26,0.52,2078
AN Cook,54,50,0.9259259259259259,2078
C Kieswetter,17,21,1.2352941176470589,2078
IJL Trott,61,63,1.0327868852459017,2078
IR Bell,21,26,1.2380952380952381,2078
JM Bairstow,21,41,1.9523809523809523,2078
